sample_name,source_name,Strain,sex,age
DGRP_Line_83_Female_SAMN09739001,DGRP Line 83 Female,DGRP_83,female,3-5 days old
DGRP_Line_83_Female_SAMN09739000,DGRP Line 83 Female,DGRP_83,female,3-5 days old
DGRP_Line_83_Male_SAMN09738999,DGRP Line 83 Male,DGRP_83,male,3-5 days old
DGRP_Line_83_Male_SAMN09738998,DGRP Line 83 Male,DGRP_83,male,3-5 days old
DGRP_Line_832_Female_SAMN09738997,DGRP Line 832 Female,DGRP_832,female,3-5 days old
DGRP_Line_837_Female_SAMN09738992,DGRP Line 837 Female,DGRP_837,female,3-5 days old
DGRP_Line_837_Male_SAMN09738991,DGRP Line 837 Male,DGRP_837,male,3-5 days old
DGRP_Line_843_Male_SAMN09738987,DGRP Line 843 Male,DGRP_843,male,3-5 days old
DGRP_Line_849_Female_SAMN09738984,DGRP Line 849 Female,DGRP_849,female,3-5 days old
DGRP_Line_85_Female_SAMN09738981,DGRP Line 85 Female,DGRP_85,female,3-5 days old
DGRP_Line_852_Female_SAMN09738972,DGRP Line 852 Female,DGRP_852,female,3-5 days old
DGRP_Line_852_Male_SAMN09738971,DGRP Line 852 Male,DGRP_852,male,3-5 days old
DGRP_Line_852_Male_SAMN09739034,DGRP Line 852 Male,DGRP_852,male,3-5 days old
DGRP_Line_853_Female_SAMN09739032,DGRP Line 853 Female,DGRP_853,female,3-5 days old
DGRP_Line_853_Male_SAMN09739030,DGRP Line 853 Male,DGRP_853,male,3-5 days old
DGRP_Line_855_Female_SAMN09739029,DGRP Line 855 Female,DGRP_855,female,3-5 days old
DGRP_Line_857_Female_SAMN09739025,DGRP Line 857 Female,DGRP_857,female,3-5 days old
DGRP_Line_857_Female_SAMN09739024,DGRP Line 857 Female,DGRP_857,female,3-5 days old
DGRP_Line_857_Male_SAMN09739023,DGRP Line 857 Male,DGRP_857,male,3-5 days old
DGRP_Line_861_Female_SAMN09739020,DGRP Line 861 Female,DGRP_861,female,3-5 days old
DGRP_Line_861_Male_SAMN09739019,DGRP Line 861 Male,DGRP_861,male,3-5 days old
DGRP_Line_88_Female_SAMN09739116,DGRP Line 88 Female,DGRP_88,female,3-5 days old
DGRP_Line_88_Female_SAMN09739115,DGRP Line 88 Female,DGRP_88,female,3-5 days old
DGRP_Line_882_Female_SAMN09739112,DGRP Line 882 Female,DGRP_882,female,3-5 days old
DGRP_Line_884_Female_SAMN09739109,DGRP Line 884 Female,DGRP_884,female,3-5 days old
DGRP_Line_890_Male_SAMN09739102,DGRP Line 890 Male,DGRP_890,male,3-5 days old
DGRP_Line_892_Female_SAMN09739100,DGRP Line 892 Female,DGRP_892,female,3-5 days old
